Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
17543_4926_x5833_y20277,2298,12.5664,5,43,89,47,149.25,174.125,162.825,1.99913,4206.83,26432.3,13216.1,99.9411,437.137,8,0.868511,24.809,1,70.1237,67.0437,1.13032
17543_5296_x5131_y20385,2043,12.5664,6,34,72,39,192.2,186.125,193.9,1.99902,3609.81,22681.1,11340.6,99.9421,299.027,6,0.893638,27.3611,1,83.9103,75.0019,1.07832
17543_5334_x5066_y20381,3006,12.5664,7,50,105,56,170.275,192.9,196.175,1.99933,5345.49,33586.7,16793.3,99.9831,453.872,10,0.877016,27.619,1,87.9853,77.9479,1.10792
17545_00001,3080,12.5664,4,31,64,34,162.675,188.875,132.351,1.99935,2879.68,18093.6,9046.79,99.9999,692.515,12,0.828419,47.1094,1,76.304,82.4805,1.12362
17545_00003,9403,12.5664,3,79,159,81,192.825,140.95,188.2,1.99979,6021.47,37834.0,18917.0,99.9968,143.568,10,0.898567,58.1321,1,69.499,53.3354,1.14096
17545_00004,5273,12.5664,8,40,86,47,179.25,186.725,170.55,1.99962,5099.26,32039.6,16019.8,99.9797,409.669,7,0.826935,60.3023,1,84.3813,82.8429,1.1602
17545_00006,3797,12.5664,4,36,74,39,184.925,194.0,186.476,1.99947,3367.46,21158.4,10579.2,99.9863,259.876,11,0.841761,50.2973,1,80.8802,82.3631,1.08551
17545_00007,3293,12.5664,6,25,54,30,181.7,192.825,176.774,1.99939,3026.31,19014.9,9507.44,99.9934,173.119,5,0.834492,59.963,1,92.8083,80.7413,1.05284
17545_00008,3781,12.5664,6,33,70,38,193.75,196.775,174.951,1.99947,3595.49,22591.1,11295.6,99.9904,297.84,9,0.846626,53.0,1,76.5185,84.4027,1.07277
17545_00023,3698,12.5664,5,30,63,34,165.725,193.525,143.25,1.99946,3446.38,21654.3,10827.1,99.949,280.54,7,0.825946,57.6825,1,78.643,79.5592,1.12664
17545_00024,4059,12.5664,5,28,59,32,185.375,172.65,180.176,1.99951,3235.82,20331.3,10165.6,99.9876,438.93,9,0.843135,67.7797,1,56.7031,86.2387,1.0713
17545_00025,2907,12.5664,4,25,52,28,167.875,173.825,139.2,1.99931,2481.05,15588.9,7794.46,99.9784,376.91,6,0.822095,54.8846,1,63.8726,65.3299,1.10034
17545_00026,3917,12.5664,7,24,53,30,179.025,191.475,152.05,1.99949,3209.76,20167.5,10083.7,99.9418,339.087,11,0.825571,72.8868,1,96.8241,78.3359,1.10885
17545_00027,2671,12.5664,8,27,60,34,197.125,173.275,146.376,1.99925,2697.49,16948.8,8474.41,99.9697,218.17,7,0.851377,43.5,1,75.1397,69.6964,1.09364
17545_00028,4913,12.5664,4,51,104,54,190.225,195.6,146.899,1.99959,4043.17,25404.0,12702.0,99.9793,297.081,8,0.840017,46.2308,1,70.3608,79.8569,1.0923
17545_00029,4057,12.5664,9,30,67,38,190.65,180.875,193.15,1.99951,3830.46,24067.5,12033.7,99.9642,400.314,7,0.843542,59.5373,1,90.149,67.0304,1.08828
17545_00030,3993,12.5664,4,31,64,34,166.15,193.175,191.149,1.9995,3009.87,18911.6,9455.78,99.9849,309.924,8,0.831744,61.375,1,68.1581,82.578,1.07635
17545_00040,2401,12.5664,6,25,54,30,165.375,187.325,160.926,1.99917,2267.17,14245.1,7122.54,99.9405,182.358,6,0.825993,43.4444,1,77.8515,70.2056,1.09341
17545_00041,3265,12.5664,7,24,53,30,161.225,181.6,181.001,1.99939,2732.41,17168.2,8584.12,99.9643,194.752,6,0.82908,60.5849,1,87.0092,79.4823,1.0834
17545_00044,6172,12.5664,5,46,95,50,188.65,192.55,146.476,1.99968,5386.19,33842.5,16921.2,99.9956,678.544,14,0.80768,63.9579,1,74.0799,82.2541,1.14672
17545_00045,4208,12.5664,5,35,73,39,184.775,191.525,190.351,1.99952,3498.08,21979.1,10989.5,99.9969,382.346,8,0.85795,56.6301,1,74.6085,81.229,1.06708
17545_00046,1769,12.5664,5,15,33,19,126.9,181.0,156.15,1.99887,1737.05,10914.2,5457.09,99.9822,354.437,5,0.809913,52.5758,1,69.3765,98.2083,1.08473
17545_00047,3877,12.5664,3,32,65,34,160.55,194.6,185.975,1.99948,3177.32,19963.7,9981.85,99.9971,454.213,10,0.825556,58.6308,1,69.5925,85.5918,1.07459
17545_00048,4471,12.5664,4,38,78,41,173.225,173.275,193.35,1.99955,3628.44,22798.2,11399.1,99.9914,343.097,8,0.814712,56.3077,1,66.8235,91.5343,1.13354
17545_00050,3541,12.5664,7,30,65,36,197.15,189.75,155.0,1.99944,3622.56,22761.2,11380.6,99.9738,422.98,6,0.847452,53.4615,1,70.236,76.9027,1.09869
17545_00052,2844,12.5664,5,21,45,25,154.225,168.35,186.4,1.9993,2430.18,15269.3,7634.65,99.9329,477.411,7,0.833445,62.1778,1,75.009,85.2114,1.08861
17545_00053,3385,12.5664,5,29,61,33,191.3,186.9,185.075,1.99941,3382.26,21251.3,10625.7,99.9934,373.403,8,0.865535,54.4754,1,73.3804,77.2587,1.10401
17545_00054,3693,12.5664,8,33,72,40,162.9,173.8,181.15,1.99946,2976.63,18702.7,9351.35,99.9891,156.292,7,0.866218,50.2778,1,71.6754,58.1635,1.10863
17545_00055,3817,12.5664,4,42,86,45,180.65,190.35,117.55,1.99948,3032.06,19051.0,9525.5,99.9933,126.747,11,0.912602,43.3721,1,58.879,37.5971,1.21636
17545_00056,3552,12.5664,8,28,62,35,190.525,194.575,158.826,1.99944,2994.25,18813.4,9406.7,99.9786,147.864,8,0.88279,56.2742,1,73.2819,49.0657,1.10603
17545_00057,6623,12.5664,9,52,111,60,168.925,197.55,195.8,1.9997,5081.79,31929.8,15964.9,99.997,288.204,11,0.876724,58.6577,1,77.5218,60.044,1.09799
17545_00058,6011,12.5664,8,57,120,64,197.775,171.075,176.275,1.99967,4749.81,29843.9,14922.0,99.956,215.609,9,0.894562,49.0833,1,77.8254,53.1546,1.16805
17545_00059,2260,12.5664,3,20,41,22,167.4,171.175,169.1,1.99912,2096.89,13175.1,6587.56,99.9937,167.692,6,0.851282,54.0976,1,64.5834,79.4207,1.05334
17545_00060,2967,12.5664,4,25,52,28,173.8,155.775,192.95,1.99933,2741.74,17226.8,8613.42,99.9516,325.914,9,0.820456,56.0385,1,72.6317,71.6372,1.06223
17545_00063,3977,12.5664,4,31,64,34,163.7,175.125,191.125,1.9995,3107.53,19525.2,9762.6,99.989,304.079,9,0.866412,61.125,1,66.1438,79.1887,1.07085
17545_00064,2726,12.5664,6,22,48,27,155.425,172.575,184.6,1.99927,2514.01,15796.0,7898.0,99.9857,332.123,8,0.868025,55.7708,1,63.2895,69.0905,1.09344
17545_00065,3452,12.5664,5,32,67,36,189.775,182.325,173.0,1.99942,3384.68,21266.6,10633.3,99.9396,473.569,10,0.855808,50.5075,1,66.5123,85.7825,1.10605
17545_00066,3291,12.5664,5,29,61,33,173.275,183.075,194.625,1.99939,2998.08,18837.5,9418.73,99.9919,382.709,7,0.842525,52.9344,1,74.1654,90.2131,1.11411
17545_00067,3814,12.5664,3,26,53,28,163.325,181.35,172.9,1.99948,2466.5,15497.5,7748.73,99.9688,234.013,8,0.844881,70.9434,1,63.2596,81.9635,1.09364
17545_00068,3454,12.5664,5,38,79,42,197.8,180.3,183.65,1.99942,2911.81,18295.5,9147.73,99.9869,516.551,11,0.843391,42.7089,1,88.8682,87.7166,1.11905
17545_00071,10988,12.5664,8,85,176,92,194.7,196.475,192.1,1.99982,6927.2,43524.9,21762.4,99.9954,162.56,10,0.883416,61.4261,1,68.1584,59.6144,1.11474
17545_00073,3308,12.5664,5,25,53,29,187.625,193.625,136.55,1.9994,2922.88,18365.0,9182.51,99.9885,222.207,7,0.872456,61.3962,1,68.5499,65.0816,1.08537
17545_00074,2845,12.5664,9,23,53,31,189.65,179.925,125.225,1.9993,2794.85,17560.6,8780.28,99.995,159.006,6,0.849065,52.6604,1,71.8176,66.8663,1.11248
17545_00075,3799,12.5664,12,30,70,41,186.85,183.025,143.925,1.99947,3564.04,22393.5,11196.8,99.9574,151.521,6,0.872711,53.2571,1,75.9403,54.9255,1.12677
17545_00078,3704,12.5664,6,34,72,39,181.75,181.0,169.075,1.99946,3012.36,18927.2,9463.62,99.9338,138.396,6,0.890223,50.4306,1,82.6772,50.2052,1.13026
17545_00081,8220,12.5664,4,65,132,68,184.35,192.275,138.475,1.99976,5150.11,32359.1,16179.6,99.999,200.934,12,0.858839,61.2652,1,57.4593,51.8453,1.16494
17545_00082,7051,12.5664,8,51,108,58,185.55,165.85,160.125,1.99972,4849.13,30468.0,15234.0,99.983,178.898,10,0.8462,64.2778,1,65.8294,68.0402,1.13771
17545_00084,7980,12.5664,9,56,119,64,183.95,196.875,182.325,1.99975,5731.7,36013.3,18006.7,99.9827,158.346,12,0.894866,66.0504,1,71.0255,58.5734,1.11673
17545_00085,8048,12.5664,7,68,141,74,154.45,165.45,196.65,1.99975,5532.04,34758.9,17379.4,99.9989,175.704,9,0.876993,56.0709,1,79.3943,54.6801,1.16582
17545_00088,9394,12.5664,4,79,160,82,186.9,194.65,124.574,1.99979,5633.08,35393.7,17696.9,99.9949,265.754,16,0.878335,57.7062,1,86.1851,75.6842,1.185
17545_00089,5890,12.5664,10,52,112,61,184.75,197.85,191.775,1.99966,4646.77,29196.5,14598.3,99.9997,230.68,7,0.867682,51.5804,1,74.113,62.6767,1.09664
