s_name o_name
17781_4874_x11466_y11924 11503_11924_4867
17781_5166_x11993_y10858 12024_10850_5160
17781_5655_x10641_y11102 10619_11123_5655
17781_5894_x11460_y10079 11450_10056_5892
17781_6028_x9772_y42888 9774_42915_6025
17781_6202_x7633_y12296 7617_12302_6204
17781_6228_x12697_y8412 12719_8397_6230
17781_6262_x6896_y13574 6919_13559_6263
17781_6270_x9494_y43380 9502_43383_6274
17781_6287_x8230_y11645 8226_11628_6291
17781_6355_x6443_y33777 6456_33787_6345
17781_6626_x22318_y13682 22314_13701_6625
17781_6627_x22762_y14486 22775_14505_6625
17781_6643_x22317_y12822 22297_12816_6643
17781_6802_x8324_y14113 8362_14134_6804
17781_6866_x8954_y41812 8970_41809_6861
17781_6881_x22248_y12698 22241_12703_6875
17781_7132_x8998_y15272 8968_15288_7138
pre_17781_00066 13642_17954_2620
18868_2225_x15897_y10006 15887_9996_2223
18868_2584_x14386_y13639 14387_13630_2577
18868_2593_x15801_y13755 15796_13742_2582
18868_2601_x23273_y17306 23269_17287_2596
18868_2621_x11765_y8944 11758_8934_2615
18868_2924_x10668_y9719 10653_9715_2919
18868_3009_x28076_y11485 28052_11485_3002
18868_3112_x27714_y10534 27697_10533_3106
18868_3207_x27726_y9448 27714_9443_3202
18868_3228_x28576_y10788 28560_10776_3222
18868_3389_x28317_y9872 28303_9864_3383
18868_3419_x27168_y8481 27145_8482_3407
18868_3453_x28753_y10380 28724_10346_3449
18868_3488_x24952_y7321 24944_7317_3484
18868_3507_x7704_y10476 7698_10464_3502
18868_3547_x28065_y9077 28065_9079_3541
18868_3552_x28542_y9340 28532_9326_3546
18868_3564_x27379_y8431 27370_8429_3559
18868_3592_x9776_y8113 9751_8106_3587
18868_3626_x29809_y12585 29807_12570_3621
18868_3627_x28035_y8749 28035_8749_3621
18868_3699_x17279_y16010 17260_15986_3706
18868_3715_x8453_y8977 8447_8963_3708
18868_3781_x6715_y11703 6715_11703_3774
18868_3783_x28846_y9268 28826_9274_3773
18868_3799_x26336_y7466 26328_7468_3793
18868_3853_x29683_y10294 29680_10263_3851
18868_3856_x26025_y7205 26018_7185_3850
18868_3871_x26350_y7564 26330_7556_3864
18868_3875_x8707_y8341 8704_8325_3871
18868_3922_x26631_y7518 26637_7520_3916
18868_3931_x26823_y7496 26797_7488_3924
18868_3932_x25373_y7132 25361_7127_3927
18868_3977_x25824_y7160 25822_7152_3970
18868_3981_x30626_y12403 30616_12397_3976
18868_4041_x10632_y7193 10610_7201_4030
18868_4047_x27203_y7787 27184_7770_4042
18868_4132_x11881_y6094 11867_6677_4121
18868_4192_x10967_y7007 10938_6995_4190
18868_4221_x5685_y12199 5667_12195_4216
18868_4317_x23980_y6346 23954_6344_4305
18868_4341_x30419_y10114 30400_10114_4334
18868_4430_x9829_y7185 9823_7188_4424
18868_4464_x5477_y11004 5468_10996_4458
18868_4517_x31548_y11591 31528_11568_4509
18868_4523_x15124_y15767 15137_15767_4527
18868_4549_x5910_y9879 5902_9878_4545
18868_4648_x14941_y16268 14949_16271_4647
18868_4706_x15828_y16760 15826_16763_4706
18868_4739_x28536_y7468 28525_7444_4730
18868_4803_x7002_y8311 6992_8297_4794
18868_4818_x14513_y17030 14519_17031_4816
18868_4863_x31402_y10126 31389_10108_4855
18868_4883_x27078_y6285 27069_6274_4874
18868_5131_x7596_y7239 7580_7237_5122
18868_5141_x8535_y6876 8545_6875_5134
18868_5156_x9540_y6495 9543_6487_5148
18868_5242_x9858_y5968 9858_5959_5241
18868_5369_x19532_y5532 19520_5530_5356
18868_5397_x19819_y6085 19805_6094_5394
18868_5456_x7773_y6771 7763_6732_5445
18868_5531_x7356_y7030 7333_7010_5524
18868_5686_x9887_y5415 9861_5400_5682
18868_5701_x9538_y5736 9524_5720_5695
18868_5723_x7031_y7203 7029_7187_5716
18868_5724_x8616_y5999 8611_6001_5708
18868_5965_x17541_y6435 17520_6425_5955
18868_5983_x17523_y5085 17509_5071_5978
18868_6000_x19811_y5444 19832_5429_5988
18868_6019_x9541_y5296 9544_5294_6006
18868_6196_x17668_y4955 17650_4936_6187
18868_6405_x11428_y4397 11401_4400_6398
pre_18868_00443 10999_8441_3243
pre_18868_00465 9485_10943_2924
pre_18467_00104 3372_9859_6830
pre_18467_00342 10516_20931_5398
pre_18467_00495 29934_17953_7140
17782_3487_x11014_y17041 10987_17029_3489
17782_3651_x35286_y18512 35309_18520_3656
17782_3672_x34784_y19432 34777_19447_3673
17543_2434_x11441_y5587 10034_4994_2710
17543_3308_x10077_y3766 10075_3764_3304
17543_3471_x12087_y3637 12080_3634_3464
